"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"Other","3.5",0.2,19137.5912343685,18928.4265742884
"All","3.5",0.4,134276.944226329,149079.902490262
"JP","3.5",0.4,35778.1368109834,42276.7278948289
"TA","3.5",0.4,24698.4523216522,28224.7425229637
"BS","3.5",0.4,45122.3667629653,48370.4988664185
"Other","3.5",0.4,19194.7321377,19025.5454435412
"All","3.5",0.6,134602.028974344,149727.009825257
"JP","3.5",0.6,35819.8756754239,42545.1127838995
"TA","3.5",0.6,24774.3734326693,28421.901257127
"BS","3.5",0.6,45150.7783774068,48574.0058875478
"Other","3.5",0.6,19254.646641763,19129.0990068889
"All","3.5",0.8,134955.238999444,150405.60848047
"JP","3.5",0.8,35863.8234900296,42826.1133234804
"TA","3.5",0.8,24867.1258650089,28630.8858434528
"BS","3.5",0.8,45174.1588374948,48802.9409265376
"Other","3.5",0.8,19315.9399178648,19237.4277140754
"All","3.5",1,135325.111492849,151108.460943126
"JP","3.5",1,35905.5375721767,43113.1562184084
"TA","3.5",1,24976.7549984558,28848.6387228772
"BS","3.5",1,45189.7539041264,49055.658555705
"Other","3.5",1,19377.2483236906,19348.8212648598
"All","3.5",1.2,135701.584181962,151829.712311531
"JP","3.5",1.2,35942.0303778779,43400.1541707247
"TA","3.5",1.2,25103.8071875186,29072.0728673145
"BS","3.5",1.2,45197.1249032774,49331.4191882572
"Other","3.5",1.2,19437.6104330001,19461.7914720292
"All","3.5",1.4,136079.546542082,152564.944299727
"JP","3.5",1.4,35973.9358483844,43681.9981958451
"TA","3.5",1.4,25250.1141778804,29298.3291722356
"BS","3.5",1.4,45199.1814886775,49630.1408147943
"Other","3.5",1.4,19496.8722888315,19575.2663838669
"All","3.5",1.6,136460.771042269,153310.793574805
"JP","3.5",1.6,36006.4044229663,43954.7690347406
"TA","3.5",1.6,25418.7338157084,29525.0007412291
"BS","3.5",1.6,45202.2436247855,49951.9259635149
"Other","3.5",1.6,19555.8649872535,19688.6529290885
"All","3.5",1.8,136853.01599378,154064.367164585
"JP","3.5",1.8,36047.9168703975,44215.7346503158
"TA","3.5",1.8,25612.8406596537,29750.1895049952
"BS","3.5",1.8,45215.017669936,50296.5316116547
"Other","3.5",1.8,19616.206408191,19801.7721410294
"All","3.5",2,137267.032910753,154822.689312403
"JP","3.5",2,36107.6868505532,44463.2317109122
"TA","3.5",2,25834.2846727123,29972.4014750965
"BS","3.5",2,45246.8216184576,50662.8803899644
"Other","3.5",2,19679.8441503644,19914.7006152436
"All","4",0,134311.545605259,148002.76148407
"JP","4",0,35844.5392710054,41868.2908073478
"TA","4",0,24723.013510319,27951.3551705193
"BS","4",0,45198.952930919,48143.4049461735
"Other","4",0,19155.5601677685,18918.1182676103
"All","4",0.2,134633.185329283,148575.487775023
"JP","4",0.2,35898.2263482382,42095.8922189033
"TA","4",0.2,24786.3532774257,28122.6825881828
"BS","4",0.2,45249.5277659353,48301.3232650309
"Other","4",0.2,19215.0553491307,19011.9437162034
"All","4",0.4,134994.092399524,149186.08619802
"JP","4",0.4,35961.8925241343,42343.2842751577
"TA","4",0.4,24865.5691760263,28308.2854733263
"BS","4",0.4,45302.9871106925,48483.94127605
"Other","4",0.4,19276.8910295607,19111.7356329569
"All","4",0.6,135385.561072952,149826.779286604
"JP","4",0.6,36032.3992881335,42605.2450789956
"TA","4",0.6,24960.5164459071,28505.4866766133
"BS","4",0.6,45355.598749817,48688.572124082
"Other","4",0.6,19339.7221322729,19216.0502597171
"All","4",0.8,135795.396843155,150490.00870052
"JP","4",0.8,36104.9662801252,42876.1061806247
"TA","4",0.8,25070.1807844707,28711.439849692
"BS","4",0.8,45403.0313423609,48912.7931553374
"Other","4",0.8,19402.0979618976,19323.2428671344
"All","4",1,136209.556650844,151169.091363513
"JP","4",1,36174.0815780528,43150.1669158463
"TA","4",1,25193.0356616731,28923.2439904745
"BS","4",1,45441.44374767,49154.8617346244
"Other","4",1,19462.6212316947,19431.6758214273
"All","4",1.2,136615.194867777,151858.679374054
